file,traffic,samples,avg_rtt_ms,min_rtt_ms,max_rtt_ms,std_rtt_ms
H1,High traffic,11241,4617.0549,0.0091,24694.0811,4409.5027
H2,High traffic,16679,5415.8288,0.0088,18533.0441,4067.7258
H3,High traffic,7043,2438.8405,0.0319,16261.39,1831.7434
H4,High traffic,7989,1143.0932,0.021,17134.8031,989.823
H5,High traffic,97,4678.0696,0.03,31464.6978,8245.7758
H6,High traffic,152,1888.2771,0.025,12629.4582,3226.1465
H7,High traffic,169,3739.4125,0.0219,21334.825,5027.1092
H8,High traffic,10397,4862.7664,0.3359,15866.3151,3955.7559
H9,High traffic,10493,3031.3349,0.0169,11663.7061,2009.3087
H10,High traffic,19315,5306.3741,0.0219,19244.22,3452.0958
L1,Low traffic,8608,317.9116,0.036,11466.7749,303.9631
L2,Low traffic,13672,323.5317,0.0119,16522.3591,371.6237
L3,Low traffic,7717,364.4866,0.0339,10583.1358,238.5336
L4,Low traffic,26269,283.0871,0.411,11662.801,105.4217
L5,Low traffic,927,266.6541,0.0339,486.7041,80.6707
L6,Low traffic,4251,326.3335,0.0579,699.8699,94.8959
L7,Low traffic,1869,283.4441,0.0269,567.1852,62.1915
L8,Low traffic,9164,299.7198,0.0682,771.9471,97.9351
L9,Low traffic,8991,423.3967,1.1861,1109.7,244.4167
L10,Low traffic,4351,258.0613,0.0522,571.2769,23.2317
M1,Medium traffic,28177,370.6563,0.015,1192.1,141.2509
M2,Medium traffic,15545,347.5476,0.035,2597.754,195.1546
M3,Medium traffic,58453,346.1429,0.0241,10759.2778,83.5514
M4,Medium traffic,51503,363.1021,0.0429,3992.29,169.6978
M5,Medium traffic,4990,2692.4156,0.083,5096.946,1231.7714
M6,Medium traffic,7183,5391.3018,0.01,13911.5639,4059.3471
M7,Medium traffic,7620,2548.0684,0.0131,12580.6458,2290.5082
M8,Medium traffic,7663,2900.6992,0.0491,6329.854,1433.6579
M9,Medium traffic,12143,6886.3977,0.025,18244.7841,5277.1098
M10,Medium traffic,9805,2681.3864,0.021,7033.8099,1559.5978
